,server,hour,application,success,error
92,fsm-frontend-prod-c97f7b8c6-p7n7p,5,286,0,0
93,fsm-frontend-prod-c97f7b8c6-6wb8r,5,204,0,0
94,fsm-backend-prod-579b7846b9-pf9wp,5,1202,0,0
95,fsm-backend-prod-579b7846b9-pf9wp,6,9123,0,0
96,centralized-user-prod-78bc9f7b96-txbcl,6,58,0,0
97,cert-manager-cainjector-658b6dbf77-8t625,6,29,0,0
98,fsm-frontend-prod-c97f7b8c6-6wb8r,6,420,0,0
99,learnbuddy-frontend-stg-76c798ccf7-bqqgd,6,2,0,0
100,nginx-ingress-controller-5b6697898-7wjsr,6,309,0,0
101,fsm-backend-prod-579b7846b9-stpj9,6,5251,0,0
102,fsm-backend-prod-579b7846b9-krvsh,6,2904,0,0
103,fsm-backend-cron-prod-6bd6459455-p9p49,6,26650,0,0
104,learnbuddy-backend-prod-5969b7c99c-k9bqm,6,857,45,8
105,learnbuddy-backend-stg-75587bf7c-r7529,6,584,100,0
106,learnbuddy-frontend-prod-5bfc5cdd8f-bw8r4,6,112,0,0
107,fsm-frontend-prod-c97f7b8c6-88psm,6,420,0,0
108,cert-manager-5695c78d49-q9s9j,6,1356,0,0
109,nginx-ingress-controller-5b6697898-zqxl4,6,301,0,0
110,fsm-teachers-frontend-prod-558cb94cd4-8s6zz,6,250,0,0
111,learnbuddy-backend-prod-5969b7c99c-wkg85,7,401,12,6
112,centralized-user-prod-78bc9f7b96-txbcl,7,116,0,0
113,fsm-frontend-prod-c97f7b8c6-6wb8r,7,586,0,0
114,nginx-ingress-controller-5b6697898-zqxl4,7,704,0,0
115,fsm-teachers-frontend-prod-558cb94cd4-8s6zz,7,262,0,0
116,cert-manager-5695c78d49-q9s9j,7,1364,0,0
117,fsm-backend-prod-579b7846b9-qbxjw,7,696,0,0
118,fsm-backend-prod-579b7846b9-stpj9,7,3318,0,0
119,learnbuddy-backend-stg-75587bf7c-r7529,7,600,100,0
120,fsm-backend-cron-prod-6bd6459455-p9p49,7,1141,0,0
121,learnbuddy-backend-prod-5969b7c99c-k9bqm,7,6108,144,12
122,learnbuddy-frontend-prod-5bfc5cdd8f-bw8r4,7,86,0,0
123,fsm-backend-prod-579b7846b9-pf9wp,7,9487,0,0
124,learnbuddy-backend-prod-5969b7c99c-gcqbg,7,176,3,2
125,learnbuddy-frontend-prod-5bfc5cdd8f-wmfbn,7,2,0,0
